"","","","","","","","","","","","","","","","","","","",""
"LEAGUE INFORMATION","","","","TM ID","TM NAME","TM TAG","PH1 GROUP","PH2 GROUP","","","ROLE","ID","","","TOTAL","ALL LOCATIONS","ALL OUTCOMES","","ALL GAMES"
"LEAGUE NAME","WORLD CUP","","","1","Angola","ANG","A","-","","","PG","100","","","PER GAME","HOME","WINS","","FIRST PHASE"
"SEASON","2023","","","2","Dominican Republic","DOM","A","-","","","PG/SG","120","","","","AWAY","LOSSES","","SECOND PHASE"
"PHASES NUMBER","3","","","3","Philippines","PHI","A","-","","","SG","200","","","","","","","PLAY-OFF"
"PHASE 1 NAME","FIRST PHASE","","","4","Italy","ITA","A","-","","","SG/F","230","","","","","","",""
"PHASE 2 NAME","SECOND PHASE","","","5","South Sudan","SSD","B","-","","","F","300","","","","","","",""
"PHASE 3 NAME","PLAY-OFF","","","6","Serbia","SRB","B","-","","","F/PF","340","","","","","","",""
"PHASE 4 NAME","","","","7","China","CHN","B","-","","","PF","400","","","","","","",""
"PHASE 1 STARTING ROUND","1","","","8","Puerto Rico","PUR","B","-","","","PF/C","450","","","","","","",""
"PHASE 2 STARTING ROUND","4","","","9","USA","USA","C","-","","","C","500","","","","","","",""
"PHASE 3 STARTING ROUND","6","","","10","Jordan","JOR","C","-","","","","","","","","","","",""
"PHASE 4 STARTING ROUND","9","","","11","Greece","GRE","C","-","","","","","","","","","","",""
"ENDING ROUND","9","","","12","New Zealand","NZL","C","-","","","","","","","","","","",""
"PHASE 1 TEAMS NUMBER","32","","","13","Egypt","EGY","D","-","","","","","","","","","","",""
"PHASE 2 TEAMS NUMBER","16","","","14","Mexico","MEX","D","-","","","","","","","","","","",""
"PHASE 3 TEAMS NUMBER","8","","","15","Montenegro","MNE","D","-","","","","","","","","","","",""
"PHASE 4 TEAMS NUMBER","","","","16","Lithuania","LTU","D","-","","","","","","","","","","",""
"","","","","17","Germany","GER","E","-","","","","","","","","","","",""
"","","","","18","Finland","FIN","E","-","","","","","","","","","","",""
"","","","","19","Australia","AUS","E","-","","","","","","","","","","",""
"","","","","20","Japan","JPN","E","-","","","","","","","","","","",""
"","","","","21","Slovenia","SLO","F","-","","","","","","","","","","",""
"","","","","22","Cape Verde","CPV","F","-","","","","","","","","","","",""
"","","","","23","Georgia","GEO","F","-","","","","","","","","","","",""
"","","","","24","Venezuela","VEN","F","-","","","","","","","","","","",""
"","","","","25","Iran","IRI","G","-","","","","","","","","","","",""
"","","","","26","Spain","ESP","G","-","","","","","","","","","","",""
"","","","","27","Cote d'Ivoire","CIV","G","-","","","","","","","","","","",""
"","","","","28","Brazil","BRA","G","-","","","","","","","","","","",""
"","","","","29","Canada","CAN","H","-","","","","","","","","","","",""
"","","","","30","Latvia","LAT","H","-","","","","","","","","","","",""
"","","","","31","Lebanon","LBN","H","-","","","","","","","","","","",""
"","","","","32","France","FRA","H","-","","","","","","","","","","",""
